Наименование блюда;Ккал;Белки;Жиры;Углеводы;Вес,г;На 100г;;;
Бургеры;;;;;;Ккал;Белки;Жиры;Углеводы
Темпура ролл;346,498;10,2;5,106;71,165;178;194,6617978;5,730337079;2,868539326;39,98033708
Темпура сакай;412,473;11,447;9,455;75,211;187;220,5737968;6,121390374;5,056149733;40,2197861
Тортилья темпура;901,296;17,571;23,855;109,633;153;589,0823529;11,48431373;15,59150327;71,65555556
Филадельфия в кляре;435,19;14,246;11,051;74,476;187;232,7219251;7,618181818;5,909625668;39,82673797
Хару маки;396,414;15,315;11,87;63,123;193;205,3958549;7,935233161;6,150259067;32,70621762
Ходзе;428,877;13,356;10,524;75,007;196;218,8147959;6,814285714;5,369387755;38,26887755
Цезарь жареный;373,099;12,061;6,716;70,281;188;198,4569149;6,415425532;3,572340426;37,38351064
Шиитаке сяке маки;469,664;10,747;7,28;68,477;168;279,5619048;6,39702381;4,333333333;40,76011905
Ямато ролл;491,869;12,016;17,658;75,84;211;233,1132701;5,69478673;8,368720379;35,94312796
;;;;;;;;;
Наименование блюда;Ккал;Белки;Жиры;Углеводы;Вес,г;На 100г;;;
Запеченные роллы;;;;;;Ккал;Белки;Жиры;Углеводы
Каеси яки маки;421,972;17,797;18,295;50,276;229;184,2672489;7,771615721;7,989082969;21,95458515
Калифорния запеченая;423,808;10,918;22,765;47,622;222;190,9045045;4,918018018;10,2545045;21,45135135
Кани яки маки;558,971;18,772;21,246;50,49;207;270,0342995;9,068599034;10,26376812;24,39130435
Лава запеченая;481,673;12,628;25,055;59,806;202;238,4519802;6,251485149;12,40346535;29,60693069
нагайна маки;492,615;11,976;15,568;52,661;195;252,6230769;6,141538462;7,983589744;27,00564103
СиаСтар яки маки;492,6;7,82;18,283;51,933;177;278,3050847;4,418079096;10,32937853;29,34067797
Тортилья запеченая;617,153;19,166;41,063;47,186;178;346,7151685;10,76741573;23,06910112;26,50898876
Унаги маки запеченые;353,028;8,247;11,643;57,876;165;213,9563636;4,998181818;7,056363636;35,07636364
Филадельфия яки;772,78;30,966;33,625;51,763;217;356,1198157;14,27004608;15,49539171;23,85391705
Шиитаки яки;388,353;8,572;14,233;61,562;307;126,4993485;2,79218241;4,636156352;20,05276873
Эби яки маки;489,322;8,474;17,837;51,509;207;236,3874396;4,093719807;8,616908213;24,88357488
Экзотика;587,931;14,501;27,299;47,079;237;248,0721519;6,118565401;11,5185654;19,86455696
Яки спайс маки;527,238;10;19,33;53,571;197;267,6335025;5,076142132;9,812182741;27,19340102
Ясай запеченый;377,976;8,034;19,764;45,827;207;182,5971014;3,88115942;9,547826087;22,13864734
Ясасиге;396,891;14,006;15,805;53,025;224;177,1834821;6,252678571;7,055803571;23,671875
;;;;;;;;;
Наименование блюда;Ккал;Белки;Жиры;Углеводы;Вес,г;На 100г;;;
Роллы;;;;;;Ккал;Белки;Жиры;Углеводы
Авокадо маки;162,356;3,309;0,678;38,73;102;159,172549;3,244117647;0,664705882;37,97058824
Аканасу маки;337,604;10,905;8,203;60,031;180;187,5577778;6,058333333;4,557222222;33,35055556
Аляска;377,744;12,189;11,113;61,812;204;185,1686275;5,975;5,44754902;30,3
Биф ролл;476,614;11,393;23,348;59,258;199;239,5045226;5,725125628;11,73266332;29,77788945
Бонито;297,57;18,362;5,998;45,704;180;165,3166667;10,20111111;3,332222222;25,39111111
Бунсаи маки;425,614;18,064;14,778;60,381;207;205,610628;8,726570048;7,139130435;29,16956522
Вакай маки;449,663;13,041;19,541;60,044;196;229,419898;6,653571429;9,969897959;30,63469388
Вассабико;258,582;7,999;1,816;55,659;153;169,0078431;5,228104575;1,186928105;36,37843137
Вулкан;524,241;9,562;31,13;12,67;222;236,1445946;4,307207207;14,02252252;5,707207207
Гавайский;556,332;13,192;26,632;70,618;210;264,92;6,281904762;12,68190476;33,62761905
Греческий;431,43;5,873;1,458;59,338;165;261,4727273;3,559393939;0,883636364;35,96242424
Динамит;476,406;9,707;11,851;61,104;178;267,6438202;5,453370787;6,657865169;34,32808989
